id,name,age,points,hand,backhand,height,weight
p0dr,Andrea Picchione,26,137,R,2,183,80
f840,Nerman Fatic,30,136,R,2,191,88
rh62,Mats Rosenkranz,26,135,L,2,193,83
p0ea,Saba Purtseladze,23,135,R,2,191,91
db59,Dennis Novak,31,134,R,2,183,81
j620,Maxime Janvier,28,133,R,2,196,85
z0cq,Yi Zhou,20,133,R,2,193,85
z0ak,Tyler Zink,24,133,R,2,185,73
n0al,Govind Nanda,24,131,R,2,178,70
fc49,Giovanni Fonio,26,131,R,1,183,78
c0nb,Federico Cina,18,130,R,2,185,73
r0fs,Leandro Riedi,23,130,R,2,191,78
s0ti,Philip Sekulic,21,130,R,2,191,82
d0lj,Diego Dedura,17,130,L,2,178,77
w0bb,Max Wiskandt,23,130,R,0,191,82
m0gy,Lilian Marmousez,23,129,R,1,180,82
gc89,Egor Gerasimov,32,127,R,2,196,86
z419,Bernabe Zapata Miralles,28,127,R,2,183,79
a0ik,Luciano Emanuel Ambrogi,21,127,R,2,188,77
va23,Kris Van Wyk,28,127,R,2,185,77
z0ab,Alexey Zakharov,24,126,R,2,188,83
r0a7,Joao Lucas Reis Da Silva,25,126,R,2,178,75
b0ou,Hynek Barton,21,125,R,2,183,72
c0mh,Gerard Campana Lee,20,125,R,2,183,83
v0b2,Michael Vrbensky,25,125,R,2,None,None
m0ac,Rudolf Molleker,24,125,R,2,188,82
i0b0,Andre Ilagan,24,125,L,0,173,64
j0aw,Guido Ivan Justo,27,125,R,2,178,78
c0bc,Maxime Cressy,27,123,R,2,201,86
p0jg,Gabriele Pennaforti,24,123,R,2,191,85
cg94,Enzo Couacaud,30,122,R,2,183,78
bv24,Raul Brancaccio,27,122,R,2,183,75
s0kt,Stefanos Sakellaridis,20,121,R,2,198,93
o0ad,Neil Oberleitner,25,121,R,2,191,83
n0b4,Ryan Nijboer,25,121,R,2,180,77
d0a2,Matthew Dellavedova,24,121,R,1,191,81
bf23,Facundo Bagnis,35,119,L,2,183,82
u120,Kaichi Uchida,30,119,R,2,180,None
b0ek,Moerani Bouzige,25,119,R,2,180,80
g0by,Daniil Glinka,24,118,L,1,188,83
da86,Joris De Loore,32,117,R,2,191,86
s0hr,Kasidit Samrej,24,117,R,2,191,91
a09t,Dan Added,26,117,R,2,183,75
t0fi,Marko Topo,21,116,R,2,185,83
g0j9,Svyatoslav Gulin,22,116,R,2,178,80
a0es,Pedro Araujo,23,116,R,2,183,73
p0k4,Tiago Pereira,20,116,R,2,0,78
