tourney_id,matchId,tourney_name,surface,winner_id,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
8998,ms023,Adelaide,Hard,su55,3,67,9,4,54,32,31,12,10,0,0,4,2,53,30,21,14,9,3,5
8998,ms030,Adelaide,Hard,dh50,3,103,5,3,74,44,32,15,10,1,2,1,5,70,44,28,11,10,5,9
8998,ms029,Adelaide,Hard,kd46,3,130,15,3,88,60,44,14,14,3,5,4,2,89,54,36,18,13,9,12
8998,ms025,Adelaide,Hard,o483,3,99,9,1,66,40,35,18,12,1,1,7,1,71,48,37,16,12,5,6
8998,qs006,Adelaide,Hard,w09e,3,141,4,3,96,56,44,15,14,6,9,9,6,92,57,44,17,15,5,7
8998,qs007,Adelaide,Hard,bm95,3,135,2,4,87,51,39,15,14,6,9,8,4,85,54,34,16,14,3,8
8998,qs005,Adelaide,Hard,d994,3,64,0,1,39,30,25,7,8,0,0,3,2,59,41,22,9,8,2,6
8998,qs004,Adelaide,Hard,h997,3,91,9,2,82,63,46,7,11,9,11,3,6,54,27,21,11,10,1,4
8998,qs010,Adelaide,Hard,b0ot,3,19,3,0,8,6,6,2,2,0,0,1,3,23,13,10,3,2,2,2
8998,qs012,Adelaide,Hard,h0bh,3,35,2,1,19,13,11,5,4,0,0,0,2,24,10,4,3,5,0,4
8998,qs014,Adelaide,Hard,bm95,3,27,1,1,17,12,9,3,3,0,0,1,4,18,9,8,3,2,0,0
8998,qs009,Adelaide,Hard,h997,3,122,5,3,81,55,39,17,14,3,5,3,3,98,55,38,21,15,5,8
8998,qs013,Adelaide,Hard,w09e,3,124,7,0,93,58,44,15,15,9,12,8,3,84,56,36,13,14,2,6
8998,qs011,Adelaide,Hard,d994,3,180,8,4,134,82,60,31,18,5,7,14,1,121,82,63,20,18,4,6
8998,qs015,Adelaide,Hard,m0oq,3,169,4,7,100,64,41,14,16,6,13,1,7,106,70,35,19,15,8,15
8998,qs008,Adelaide,Hard,gh33,3,99,6,1,60,30,23,22,11,2,2,5,3,72,45,36,10,11,5,7
301,ms001,Auckland,Hard,mc65,3,97,4,4,60,33,29,15,10,6,6,2,3,64,42,30,10,9,3,5
301,ms002,Auckland,Hard,bu13,3,136,6,1,87,48,31,20,14,3,7,0,2,94,58,34,19,15,7,13
301,ms003,Auckland,Hard,mc65,3,106,7,2,88,48,36,22,11,5,5,3,0,59,38,27,17,11,1,2
301,ms004,Auckland,Hard,bt72,3,147,5,0,104,75,53,16,16,3,5,17,9,118,70,53,20,16,4,8
301,ms007,Auckland,Hard,b0nn,3,102,4,2,79,46,37,17,13,5,7,5,2,73,46,36,9,13,3,6
301,ms005,Auckland,Hard,bu13,3,112,2,2,65,37,26,13,12,1,5,2,4,74,45,32,8,12,6,11
301,ms006,Auckland,Hard,mc65,3,77,4,1,52,33,28,7,8,3,3,0,1,60,40,25,7,8,3,7
301,ms008,Auckland,Hard,m0ni,3,158,10,7,119,71,57,25,17,5,6,7,2,127,84,54,27,17,11,12
301,ms015,Auckland,Hard,b0nn,3,145,9,2,99,66,48,19,16,6,7,12,2,108,73,53,18,16,11,13
301,ms013,Auckland,Hard,d0cg,3,128,4,5,79,44,32,18,11,4,7,1,1,75,50,31,12,11,5,9
